RefNo;OoLCategory;DocType
1;nuclear geyser system;Article
2;NA;Proceedings Paper
3;lake;Article
4;NA;Article
5;hydrothermal vent;Article
6;volcano;Article
7;hydrothermal vent;Article
8;NA;Review
9;volcano;Review
10;hydrothermal vent;Article
11;NA;Article
12;hydrothermal vent;Article
13;NA;Article
14;nuclear geyser system;Article
15;lake;Article
16;hydrothermal vent;Article
17;hydrothermal vent;Review
18;hydrothermal vent;Review
19;hydrothermal vent;Review
20;rock pores;Proceedings Paper
21;volcano;Article
22;hydrothermal vent;Article
23;coastal environment;Article
24;coastal environment;Review
25;rock pores;Article
26;hydrothermal vent;Review
27;hydrothermal vent;Review
28;volcano;Review
29;hydrothermal vent;Article
30;hydrothermal vent, nuclear geyser system, volcano;Article, Proceedings Paper
31;radioactive mineral deposits;Article
32;NA;Article
33;hydrothermal vent;Article
34;hydrothermal vent;Article
35;rock pores;Article
36;hydrothermal vent;Article
37;hydrothermal vent;Article
38;rock pores;Article
39;lake, coastal environment;Article
40;rock pores;Article
41;NA;Article